different contracts 255474
incorrect opCodes:
254: 164736
41: 2072
221: 1286
168: 721
45: 608
79: 589
203: 585
73: 579
166: 570
34: 569
194: 567
76: 565
232: 563
252: 547
201: 543
172: 537
231: 535
247: 533
78: 529
14: 525
202: 522
225: 521
77: 519
222: 519
223: 518
217: 517
234: 516
230: 512
165: 512
216: 511
192: 511
229: 511
44: 509
204: 509
251: 509
46: 507
236: 507
228: 506
187: 505
183: 505
189: 505
33: 504
72: 503
37: 501
92: 500
35: 499
15: 499
188: 498
171: 498
184: 498
173: 497
233: 497
211: 497
167: 497
200: 496
185: 496
169: 496
181: 496
94: 495
195: 494
246: 494
75: 493
39: 493
43: 492
38: 491
207: 491
193: 491
206: 490
235: 490
219: 490
40: 488
179: 487
197: 486
30: 485
209: 484
191: 483
227: 483
237: 482
249: 479
12: 479
13: 479
248: 478
205: 477
226: 475
186: 475
180: 474
196: 474
214: 472
212: 471
220: 470
95: 470
199: 468
42: 467
198: 467
74: 467
190: 466
224: 463
175: 463
213: 461
93: 460
31: 459
239: 459
174: 459
182: 458
208: 458
36: 456
215: 455
170: 453
210: 452
238: 447
218: 443
47: 425
